,Season,Team,wRC+
111,2018,MIA,83.45219727785734
112,2018,PHI,90.53664518369203
113,2018,SDP,84.36548362562363
114,2018,CHW,91.72770399906695
115,2018,TEX,88.58518281510369
116,2018,KCR,87.42212047182326
117,2018,SFG,81.61952385778021
118,2018,BAL,86.92749233794675
119,2018,DET,82.72204662171112
120,2019,HOU,124.17677254329935
121,2019,LAD,109.75485059959234
122,2019,MIN,116.39827427080644
123,2019,NYY,116.7761415557058
124,2019,WSN,103.7852770740814
125,2019,BOS,105.95754298399422
126,2019,ATL,100.97990784584125
127,2019,OAK,107.12993858745529
128,2019,TBR,104.03600350622158
129,2019,CHC,100.37900173646679
130,2019,CLE,97.41334758277463
131,2019,NYM,104.99474021047286
132,2019,ARI,93.37309473676018
133,2019,MIL,96.88763604292468
134,2019,STL,95.33094342463272
135,2019,PHI,90.40900253229152
136,2019,LAA,95.67185766458495
137,2019,SEA,98.86174415576525
138,2019,PIT,91.77759634272851
139,2019,TOR,92.40112398189254
140,2019,CIN,84.96025592243846
141,2019,COL,87.2210840134432
142,2019,SDP,88.70709236799114
143,2019,CHW,91.63414315968134
144,2019,TEX,87.62781321421629
145,2019,SFG,82.17912056523083
146,2019,KCR,84.00381300248107
147,2019,BAL,88.25802027094966
148,2019,MIA,78.51319325918162
149,2019,DET,77.47139781050436
150,2020,LAD,120.22118748360356
151,2020,SDP,116.43907908962468
152,2020,CHW,111.13500211818986
153,2020,ATL,119.81755146165622
154,2020,NYM,122.74457889551174
155,2020,SFG,111.88453283680437
156,2020,MIN,103.00590539127356
157,2020,NYY,116.8517024002403
158,2020,TBR,110.59458640016265
159,2020,CHC,91.91578692797776
160,2020,OAK,103.09800121076002
161,2020,LAA,106.45869259138654
162,2020,KCR,90.40595047734388
163,2020,STL,93.49349028364665
164,2020,BOS,105.13479900008505
165,2020,HOU,96.62881822359789
166,2020,CLE,90.21550508279641
167,2020,PHI,108.32806736327971
168,2020,MIL,89.86051155080153
169,2020,DET,91.80307592634627
170,2020,ARI,87.760787265568
171,2020,TOR,103.83980508664722
172,2020,SEA,91.64567986938738
173,2020,WSN,104.47468067192952
174,2020,CIN,86.65533918091714
